"","inegi","name_ent","name_mun","concepto","est","cuidar","razon","faltan_est","ent"
"1","28001","Tamaulipas","Abasolo","guarderias",1,898,130,6,"28"
"2","28001","Tamaulipas","Abasolo","asilos",0,1043,324,3,"28"
"3","28001","Tamaulipas","Abasolo","estancias",0,134,100,1,"28"
"4","28002","Tamaulipas","Aldama","guarderias",3,2618,130,17,"28"
"5","28002","Tamaulipas","Aldama","asilos",0,3213,324,10,"28"
"6","28002","Tamaulipas","Aldama","estancias",0,340,100,3,"28"
"7","28003","Tamaulipas","Altamira","guarderias",19,26193,130,182,"28"
"8","28003","Tamaulipas","Altamira","asilos",1,14324,324,43,"28"
"9","28003","Tamaulipas","Altamira","estancias",0,2692,100,27,"28"
"10","28007","Tamaulipas","Camargo","guarderias",1,1617,130,11,"28"
"11","28007","Tamaulipas","Camargo","asilos",0,1455,324,4,"28"
"12","28007","Tamaulipas","Camargo","estancias",0,204,100,2,"28"
"13","28009","Tamaulipas","Ciudad Madero","guarderias",27,14418,130,84,"28"
"14","28009","Tamaulipas","Ciudad Madero","asilos",2,24309,324,73,"28"
"15","28009","Tamaulipas","Ciudad Madero","estancias",2,2953,100,28,"28"
"16","28010","Tamaulipas","Cruillas","guarderias",1,147,130,0,"28"
"17","28010","Tamaulipas","Cruillas","asilos",0,263,324,1,"28"
"18","28010","Tamaulipas","Cruillas","estancias",0,26,100,0,"28"
"19","28012","Tamaulipas","González","guarderias",2,4511,130,33,"28"
"20","28012","Tamaulipas","González","asilos",0,3915,324,12,"28"
"21","28012","Tamaulipas","González","estancias",0,609,100,6,"28"
"22","28014","Tamaulipas","Guerrero","guarderias",1,258,130,1,"28"
"23","28014","Tamaulipas","Guerrero","asilos",0,431,324,1,"28"
"24","28014","Tamaulipas","Guerrero","estancias",0,74,100,1,"28"
"25","28015","Tamaulipas","Gustavo Díaz Ordaz","guarderias",1,1601,130,11,"28"
"26","28015","Tamaulipas","Gustavo Díaz Ordaz","asilos",0,1358,324,4,"28"
"27","28015","Tamaulipas","Gustavo Díaz Ordaz","estancias",0,199,100,2,"28"
"28","28016","Tamaulipas","Hidalgo","guarderias",2,1709,130,11,"28"
"29","28016","Tamaulipas","Hidalgo","asilos",0,2742,324,8,"28"
"30","28016","Tamaulipas","Hidalgo","estancias",1,240,100,1,"28"
"31","28018","Tamaulipas","Jiménez","guarderias",1,572,130,3,"28"
"32","28018","Tamaulipas","Jiménez","asilos",0,840,324,3,"28"
"33","28018","Tamaulipas","Jiménez","estancias",0,58,100,1,"28"
"34","28019","Tamaulipas","Llera","guarderias",1,1236,130,9,"28"
"35","28019","Tamaulipas","Llera","asilos",0,2401,324,7,"28"
"36","28019","Tamaulipas","Llera","estancias",0,213,100,2,"28"
"37","28021","Tamaulipas","El Mante","guarderias",9,8648,130,58,"28"
"38","28021","Tamaulipas","El Mante","asilos",1,12343,324,37,"28"
"39","28021","Tamaulipas","El Mante","estancias",0,1748,100,17,"28"
"40","28022","Tamaulipas","Matamoros","guarderias",39,54010,130,376,"28"
