"","inegi","name_ent","name_mun","concepto","est","cuidar","razon","faltan_est","ent"
"1","21003","Puebla","Acatlán","guarderias",1,4413,130,33,"21"
"2","21003","Puebla","Acatlán","asilos",0,4152,324,13,"21"
"3","21003","Puebla","Acatlán","estancias",0,470,100,5,"21"
"4","21004","Puebla","Acatzingo","guarderias",5,8618,130,61,"21"
"5","21004","Puebla","Acatzingo","asilos",0,2890,324,9,"21"
"6","21004","Puebla","Acatzingo","estancias",0,391,100,4,"21"
"7","21010","Puebla","Ajalpan","guarderias",2,9001,130,67,"21"
"8","21010","Puebla","Ajalpan","asilos",1,3503,324,10,"21"
"9","21010","Puebla","Ajalpan","estancias",1,644,100,5,"21"
"10","21013","Puebla","Altepexi","guarderias",1,2599,130,19,"21"
"11","21013","Puebla","Altepexi","asilos",0,1185,324,4,"21"
"12","21013","Puebla","Altepexi","estancias",0,248,100,2,"21"
"13","21015","Puebla","Amozoc","guarderias",4,13677,130,101,"21"
"14","21015","Puebla","Amozoc","asilos",0,4849,324,15,"21"
"15","21015","Puebla","Amozoc","estancias",0,1165,100,12,"21"
"16","21016","Puebla","Aquixtla","guarderias",1,1090,130,7,"21"
"17","21016","Puebla","Aquixtla","asilos",0,750,324,2,"21"
"18","21016","Puebla","Aquixtla","estancias",0,148,100,1,"21"
"19","21019","Puebla","Atlixco","guarderias",9,16096,130,115,"21"
"20","21019","Puebla","Atlixco","asilos",1,11151,324,33,"21"
"21","21019","Puebla","Atlixco","estancias",0,1502,100,15,"21"
"22","21020","Puebla","Atoyatempan","guarderias",1,921,130,6,"21"
"23","21020","Puebla","Atoyatempan","asilos",0,431,324,1,"21"
"24","21020","Puebla","Atoyatempan","estancias",0,95,100,1,"21"
"25","21026","Puebla","Calpan","guarderias",1,1636,130,12,"21"
"26","21026","Puebla","Calpan","asilos",1,1435,324,3,"21"
"27","21026","Puebla","Calpan","estancias",0,179,100,2,"21"
"28","21028","Puebla","Camocuautla","guarderias",1,288,130,1,"21"
"29","21028","Puebla","Camocuautla","asilos",0,196,324,1,"21"
"30","21028","Puebla","Camocuautla","estancias",0,32,100,0,"21"
"31","21034","Puebla","Coronango","guarderias",4,5259,130,36,"21"
"32","21034","Puebla","Coronango","asilos",0,2565,324,8,"21"
"33","21034","Puebla","Coronango","estancias",0,447,100,4,"21"
"34","21035","Puebla","Coxcatlán","guarderias",2,2118,130,14,"21"
"35","21035","Puebla","Coxcatlán","asilos",0,1714,324,5,"21"
"36","21035","Puebla","Coxcatlán","estancias",0,285,100,3,"21"
"37","21037","Puebla","Coyotepec","guarderias",0,181,130,1,"21"
"38","21037","Puebla","Coyotepec","asilos",1,502,324,1,"21"
"39","21037","Puebla","Coyotepec","estancias",0,38,100,0,"21"
"40","21038","Puebla","Cuapiaxtla de Madero","guarderias",1,1482,130,10,"21"
"41","21038","Puebla","Cuapiaxtla de Madero","asilos",0,434,324,1,"21"
"42","21038","Puebla","Cuapiaxtla de Madero","estancias",0,96,100,1,"21"
"43","21039","Puebla","Cuautempan","guarderias",1,1089,130,7,"21"
"44","21039","Puebla","Cuautempan","asilos",1,867,324,2,"21"
"45","21039","Puebla","Cuautempan","estancias",0,99,100,1,"21"
"46","21041","Puebla","Cuautlancingo","guarderias",12,13160,130,89,"21"
"47","21041","Puebla","Cuautlancingo","asilos",1,4437,324,13,"21"
"48","21041","Puebla","Cuautlancingo","estancias",0,969,100,10,"21"
