"","inegi","name_ent","name_mun","concepto","est","cuidar","razon","faltan_est","ent"
"1","25001","Sinaloa","Ahome","guarderias",72,41228,130,245,"25"
"2","25001","Sinaloa","Ahome","asilos",3,37343,324,112,"25"
"3","25001","Sinaloa","Ahome","estancias",5,6557,100,61,"25"
"4","25002","Sinaloa","Angostura","guarderias",4,3360,130,22,"25"
"5","25002","Sinaloa","Angostura","asilos",0,5318,324,16,"25"
"6","25002","Sinaloa","Angostura","estancias",2,684,100,5,"25"
"7","25003","Sinaloa","Badiraguato","guarderias",1,3176,130,23,"25"
"8","25003","Sinaloa","Badiraguato","asilos",0,3100,324,10,"25"
"9","25003","Sinaloa","Badiraguato","estancias",0,527,100,5,"25"
"10","25004","Sinaloa","Concordia","guarderias",3,2389,130,15,"25"
"11","25004","Sinaloa","Concordia","asilos",0,3248,324,10,"25"
"12","25004","Sinaloa","Concordia","estancias",0,443,100,4,"25"
"13","25005","Sinaloa","Cosalá","guarderias",1,2059,130,15,"25"
"14","25005","Sinaloa","Cosalá","asilos",0,1489,324,5,"25"
"15","25005","Sinaloa","Cosalá","estancias",0,191,100,2,"25"
"16","25006","Sinaloa","Culiacán","guarderias",181,95501,130,554,"25"
"17","25006","Sinaloa","Culiacán","asilos",14,74153,324,215,"25"
"18","25006","Sinaloa","Culiacán","estancias",15,11712,100,102,"25"
"19","25007","Sinaloa","Choix","guarderias",1,3306,130,24,"25"
"20","25007","Sinaloa","Choix","asilos",0,2954,324,9,"25"
"21","25007","Sinaloa","Choix","estancias",1,318,100,2,"25"
"22","25008","Sinaloa","Elota","guarderias",2,5674,130,42,"25"
"23","25008","Sinaloa","Elota","asilos",0,2837,324,9,"25"
"24","25008","Sinaloa","Elota","estancias",1,562,100,5,"25"
"25","25009","Sinaloa","Escuinapa","guarderias",8,6720,130,44,"25"
"26","25009","Sinaloa","Escuinapa","asilos",1,4744,324,14,"25"
"27","25009","Sinaloa","Escuinapa","estancias",0,862,100,9,"25"
"28","25010","Sinaloa","El Fuerte","guarderias",4,8915,130,65,"25"
"29","25010","Sinaloa","El Fuerte","asilos",0,10978,324,34,"25"
"30","25010","Sinaloa","El Fuerte","estancias",1,1186,100,11,"25"
"31","25011","Sinaloa","Guasave","guarderias",30,26517,130,174,"25"
"32","25011","Sinaloa","Guasave","asilos",0,23319,324,72,"25"
"33","25011","Sinaloa","Guasave","estancias",3,4630,100,43,"25"
"34","25012","Sinaloa","Mazatlán","guarderias",91,41843,130,231,"25"
"35","25012","Sinaloa","Mazatlán","asilos",2,41063,324,125,"25"
"36","25012","Sinaloa","Mazatlán","estancias",20,5699,100,37,"25"
"37","25013","Sinaloa","Mocorito","guarderias",4,3879,130,26,"25"
"38","25013","Sinaloa","Mocorito","asilos",0,5532,324,17,"25"
"39","25013","Sinaloa","Mocorito","estancias",0,791,100,8,"25"
"40","25014","Sinaloa","Rosario","guarderias",8,5401,130,34,"25"
"41","25014","Sinaloa","Rosario","asilos",1,5008,324,14,"25"
"42","25014","Sinaloa","Rosario","estancias",1,949,100,8,"25"
"43","25015","Sinaloa","Salvador Alvarado","guarderias",20,7381,130,37,"25"
"44","25015","Sinaloa","Salvador Alvarado","asilos",0,7037,324,22,"25"
"45","25015","Sinaloa","Salvador Alvarado","estancias",2,1117,100,9,"25"
"46","25016","Sinaloa","San Ignacio","guarderias",1,1894,130,14,"25"
"47","25016","Sinaloa","San Ignacio","asilos",0,2423,324,7,"25"
"48","25016","Sinaloa","San Ignacio","estancias",0,259,100,3,"25"
"49","25017","Sinaloa","Sinaloa","guarderias",2,8687,130,65,"25"
"50","25017","Sinaloa","Sinaloa","asilos",0,9476,324,29,"25"
"51","25017","Sinaloa","Sinaloa","estancias",0,1346,100,13,"25"
"52","25018","Sinaloa","Navolato","guarderias",24,14211,130,85,"25"
"53","25018","Sinaloa","Navolato","asilos",0,9743,324,30,"25"
"54","25018","Sinaloa","Navolato","estancias",3,1878,100,16,"25"
