"","inegi","name_ent","name_mun","concepto","est","cuidar","razon","faltan_est","ent"
"1","05002","Coahuila","Acuña","guarderias",9,18799,130,136,"05"
"2","05002","Coahuila","Acuña","asilos",1,6904,324,20,"05"
"3","05002","Coahuila","Acuña","estancias",0,2413,100,24,"05"
"4","05003","Coahuila","Allende","guarderias",2,2679,130,19,"05"
"5","05003","Coahuila","Allende","asilos",1,1791,324,5,"05"
"6","05003","Coahuila","Allende","estancias",0,223,100,2,"05"
"7","05004","Coahuila","Arteaga","guarderias",1,3089,130,23,"05"
"8","05004","Coahuila","Arteaga","asilos",0,2518,324,8,"05"
"9","05004","Coahuila","Arteaga","estancias",0,349,100,3,"05"
"10","05005","Coahuila","Candela","guarderias",0,174,130,1,"05"
"11","05005","Coahuila","Candela","asilos",1,198,324,0,"05"
"12","05005","Coahuila","Candela","estancias",0,22,100,0,"05"
"13","05006","Coahuila","Castaños","guarderias",4,3313,130,21,"05"
"14","05006","Coahuila","Castaños","asilos",1,2038,324,5,"05"
"15","05006","Coahuila","Castaños","estancias",0,335,100,3,"05"
"16","05007","Coahuila","Cuatro Ciénegas","guarderias",1,1524,130,11,"05"
"17","05007","Coahuila","Cuatro Ciénegas","asilos",0,926,324,3,"05"
"18","05007","Coahuila","Cuatro Ciénegas","estancias",0,138,100,1,"05"
"19","05009","Coahuila","Francisco I. Madero","guarderias",2,7266,130,54,"05"
"20","05009","Coahuila","Francisco I. Madero","asilos",0,4052,324,13,"05"
"21","05009","Coahuila","Francisco I. Madero","estancias",0,997,100,10,"05"
"22","05010","Coahuila","Frontera","guarderias",8,9589,130,66,"05"
"23","05010","Coahuila","Frontera","asilos",1,5544,324,16,"05"
"24","05010","Coahuila","Frontera","estancias",0,962,100,10,"05"
"25","05015","Coahuila","Juárez","guarderias",0,180,130,1,"05"
"26","05015","Coahuila","Juárez","asilos",1,149,324,-1,"05"
"27","05015","Coahuila","Juárez","estancias",0,15,100,0,"05"
"28","05017","Coahuila","Matamoros","guarderias",5,12296,130,90,"05"
"29","05017","Coahuila","Matamoros","asilos",0,7997,324,25,"05"
"30","05017","Coahuila","Matamoros","estancias",2,1520,100,13,"05"
"31","05018","Coahuila","Monclova","guarderias",35,26280,130,167,"05"
"32","05018","Coahuila","Monclova","asilos",1,16119,324,49,"05"
"33","05018","Coahuila","Monclova","estancias",2,3394,100,32,"05"
"34","05019","Coahuila","Morelos","guarderias",1,788,130,5,"05"
"35","05019","Coahuila","Morelos","asilos",0,653,324,2,"05"
"36","05019","Coahuila","Morelos","estancias",0,89,100,1,"05"
"37","05020","Coahuila","Múzquiz","guarderias",2,8023,130,60,"05"
"38","05020","Coahuila","Múzquiz","asilos",2,6310,324,17,"05"
"39","05020","Coahuila","Múzquiz","estancias",0,1264,100,13,"05"
"40","05022","Coahuila","Nava","guarderias",1,3586,130,27,"05"
"41","05022","Coahuila","Nava","asilos",0,1769,324,5,"05"
"42","05022","Coahuila","Nava","estancias",0,205,100,2,"05"
"43","05024","Coahuila","Parras","guarderias",4,4644,130,32,"05"
"44","05024","Coahuila","Parras","asilos",0,4089,324,13,"05"
"45","05024","Coahuila","Parras","estancias",0,698,100,7,"05"
"46","05025","Coahuila","Piedras Negras","guarderias",12,19763,130,140,"05"
"47","05025","Coahuila","Piedras Negras","asilos",1,10218,324,31,"05"
"48","05025","Coahuila","Piedras Negras","estancias",4,1940,100,15,"05"
"49","05026","Coahuila","Progreso","guarderias",0,351,130,3,"05"
