"","inegi","name_ent","name_mun","concepto","est","cuidar","razon","faltan_est","ent"
"1","30002","Veracruz","Acatlán","guarderias",0,401,130,3,"30"
"2","30002","Veracruz","Acatlán","asilos",1,258,324,0,"30"
"3","30002","Veracruz","Acatlán","estancias",0,41,100,0,"30"
"4","30003","Veracruz","Acayucan","guarderias",5,7546,130,53,"30"
"5","30003","Veracruz","Acayucan","asilos",1,6661,324,20,"30"
"6","30003","Veracruz","Acayucan","estancias",0,1070,100,11,"30"
"7","30004","Veracruz","Actopan","guarderias",2,2908,130,20,"30"
"8","30004","Veracruz","Actopan","asilos",0,6030,324,19,"30"
"9","30004","Veracruz","Actopan","estancias",0,536,100,5,"30"
"10","30005","Veracruz","Acula","guarderias",1,413,130,2,"30"
"11","30005","Veracruz","Acula","asilos",0,658,324,2,"30"
"12","30005","Veracruz","Acula","estancias",0,104,100,1,"30"
"13","30006","Veracruz","Acultzingo","guarderias",1,2673,130,20,"30"
"14","30006","Veracruz","Acultzingo","asilos",0,1439,324,4,"30"
"15","30006","Veracruz","Acultzingo","estancias",0,318,100,3,"30"
"16","30008","Veracruz","Alpatláhuac","guarderias",1,1337,130,9,"30"
"17","30008","Veracruz","Alpatláhuac","asilos",0,874,324,3,"30"
"18","30008","Veracruz","Alpatláhuac","estancias",0,137,100,1,"30"
"19","30009","Veracruz","Alto Lucero de Gutiérrez Barrios","guarderias",1,2172,130,16,"30"
"20","30009","Veracruz","Alto Lucero de Gutiérrez Barrios","asilos",0,3554,324,11,"30"
"21","30009","Veracruz","Alto Lucero de Gutiérrez Barrios","estancias",0,394,100,4,"30"
"22","30010","Veracruz","Altotonga","guarderias",1,7763,130,59,"30"
"23","30010","Veracruz","Altotonga","asilos",0,3668,324,11,"30"
"24","30010","Veracruz","Altotonga","estancias",0,987,100,10,"30"
"25","30011","Veracruz","Alvarado","guarderias",1,3903,130,29,"30"
"26","30011","Veracruz","Alvarado","asilos",0,4819,324,15,"30"
"27","30011","Veracruz","Alvarado","estancias",0,595,100,6,"30"
"28","30013","Veracruz","Naranjos Amatlán","guarderias",2,2067,130,14,"30"
"29","30013","Veracruz","Naranjos Amatlán","asilos",0,3496,324,11,"30"
"30","30013","Veracruz","Naranjos Amatlán","estancias",0,484,100,5,"30"
"31","30014","Veracruz","Amatlán de los Reyes","guarderias",4,3972,130,27,"30"
"32","30014","Veracruz","Amatlán de los Reyes","asilos",0,3956,324,12,"30"
"33","30014","Veracruz","Amatlán de los Reyes","estancias",0,579,100,6,"30"
"34","30015","Veracruz","Angel R. Cabada","guarderias",1,2918,130,21,"30"
"35","30015","Veracruz","Angel R. Cabada","asilos",0,4268,324,13,"30"
"36","30015","Veracruz","Angel R. Cabada","estancias",0,596,100,6,"30"
"37","30016","Veracruz","La Antigua","guarderias",4,2318,130,14,"30"
"38","30016","Veracruz","La Antigua","asilos",0,2694,324,8,"30"
"39","30016","Veracruz","La Antigua","estancias",0,454,100,5,"30"
"40","30021","Veracruz","Atoyac","guarderias",1,1964,130,14,"30"
"41","30021","Veracruz","Atoyac","asilos",0,2649,324,8,"30"
"42","30021","Veracruz","Atoyac","estancias",0,354,100,4,"30"
"43","30022","Veracruz","Atzacan","guarderias",1,2403,130,17,"30"
"44","30022","Veracruz","Atzacan","asilos",0,1526,324,5,"30"
"45","30022","Veracruz","Atzacan","estancias",0,230,100,2,"30"
"46","30023","Veracruz","Atzalan","guarderias",1,5434,130,41,"30"
"47","30023","Veracruz","Atzalan","asilos",0,4715,324,15,"30"
"48","30023","Veracruz","Atzalan","estancias",0,610,100,6,"30"
"49","30026","Veracruz","Banderilla","guarderias",5,2066,130,11,"30"
"50","30026","Veracruz","Banderilla","asilos",0,1644,324,5,"30"
"51","30026","Veracruz","Banderilla","estancias",0,159,100,2,"30"
"52","30027","Veracruz","Benito Juárez","guarderias",1,1491,130,10,"30"
"53","30027","Veracruz","Benito Juárez","asilos",0,2062,324,6,"30"
"54","30027","Veracruz","Benito Juárez","estancias",1,204,100,1,"30"
"55","30028","Veracruz","Boca del Río","guarderias",20,9773,130,55,"30"
"56","30028","Veracruz","Boca del Río","asilos",2,16913,324,50,"30"
"57","30028","Veracruz","Boca del Río","estancias",0,1772,100,18,"30"
"58","30029","Veracruz","Calcahualco","guarderias",1,1942,130,14,"30"
"59","30029","Veracruz","Calcahualco","asilos",0,808,324,2,"30"
"60","30029","Veracruz","Calcahualco","estancias",0,195,100,2,"30"
"61","30030","Veracruz","Camerino Z. Mendoza","guarderias",4,3701,130,24,"30"
"62","30030","Veracruz","Camerino Z. Mendoza","asilos",0,4408,324,14,"30"
"63","30030","Veracruz","Camerino Z. Mendoza","estancias",1,500,100,4,"30"
"64","30032","Veracruz","Catemaco","guarderias",1,5054,130,38,"30"
"65","30032","Veracruz","Catemaco","asilos",0,4254,324,13,"30"
"66","30032","Veracruz","Catemaco","estancias",0,634,100,6,"30"
"67","30033","Veracruz","Cazones de Herrera","guarderias",1,2474,130,18,"30"
"68","30033","Veracruz","Cazones de Herrera","asilos",0,2679,324,8,"30"
"69","30033","Veracruz","Cazones de Herrera","estancias",0,264,100,3,"30"
"70","30034","Veracruz","Cerro Azul","guarderias",2,1788,130,12,"30"
"71","30034","Veracruz","Cerro Azul","asilos",0,3313,324,10,"30"
"72","30034","Veracruz","Cerro Azul","estancias",0,215,100,2,"30"
"73","30035","Veracruz","Citlaltépetl","guarderias",0,1164,130,9,"30"
"74","30035","Veracruz","Citlaltépetl","asilos",1,1522,324,4,"30"
"75","30035","Veracruz","Citlaltépetl","estancias",0,177,100,2,"30"
"76","30036","Veracruz","Coacoatzintla","guarderias",1,1278,130,9,"30"
"77","30036","Veracruz","Coacoatzintla","asilos",0,676,324,2,"30"
"78","30036","Veracruz","Coacoatzintla","estancias",0,132,100,1,"30"
"79","30038","Veracruz","Coatepec","guarderias",16,7617,130,43,"30"
"80","30038","Veracruz","Coatepec","asilos",2,9015,324,26,"30"
"81","30038","Veracruz","Coatepec","estancias",1,769,100,7,"30"
"82","30039","Veracruz","Coatzacoalcos","guarderias",32,27605,130,180,"30"
"83","30039","Veracruz","Coatzacoalcos","asilos",1,24557,324,75,"30"
"84","30039","Veracruz","Coatzacoalcos","estancias",2,4508,100,43,"30"
"85","30040","Veracruz","Coatzintla","guarderias",3,4631,130,33,"30"
"86","30040","Veracruz","Coatzintla","asilos",0,4940,324,15,"30"
"87","30040","Veracruz","Coatzintla","estancias",1,902,100,8,"30"
"88","30044","Veracruz","Córdoba","guarderias",29,18342,130,112,"30"
"89","30044","Veracruz","Córdoba","asilos",2,17741,324,53,"30"
"90","30044","Veracruz","Córdoba","estancias",3,2492,100,22,"30"
"91","30045","Veracruz","Cosamaloapan de Carpio","guarderias",2,4610,130,33,"30"
"92","30045","Veracruz","Cosamaloapan de Carpio","asilos",0,6016,324,19,"30"
"93","30045","Veracruz","Cosamaloapan de Carpio","estancias",0,681,100,7,"30"
"94","30047","Veracruz","Coscomatepec","guarderias",7,7894,130,54,"30"
"95","30047","Veracruz","Coscomatepec","asilos",0,2543,324,8,"30"
"96","30047","Veracruz","Coscomatepec","estancias",1,324,100,2,"30"
"97","30048","Veracruz","Cosoleacaque","guarderias",1,10935,130,83,"30"
"98","30048","Veracruz","Cosoleacaque","asilos",1,10207,324,31,"30"
"99","30048","Veracruz","Cosoleacaque","estancias",0,1469,100,15,"30"
"100","30049","Veracruz","Cotaxtla","guarderias",1,2052,130,15,"30"
"101","30049","Veracruz","Cotaxtla","asilos",0,2163,324,7,"30"
"102","30049","Veracruz","Cotaxtla","estancias",1,286,100,2,"30"
"103","30052","Veracruz","Cuichapa","guarderias",4,1146,130,5,"30"
"104","30052","Veracruz","Cuichapa","asilos",0,1033,324,3,"30"
"105","30052","Veracruz","Cuichapa","estancias",0,134,100,1,"30"
"106","30053","Veracruz","Cuitláhuac","guarderias",3,2805,130,19,"30"
"107","30053","Veracruz","Cuitláhuac","asilos",1,2361,324,6,"30"
"108","30053","Veracruz","Cuitláhuac","estancias",1,317,100,2,"30"
"109","30061","Veracruz","Las Choapas","guarderias",3,10164,130,75,"30"
"110","30061","Veracruz","Las Choapas","asilos",1,7030,324,21,"30"
"111","30061","Veracruz","Las Choapas","estancias",1,879,100,8,"30"
"112","30062","Veracruz","Chocamán","guarderias",2,2374,130,16,"30"
"113","30062","Veracruz","Chocamán","asilos",0,1390,324,4,"30"
"114","30062","Veracruz","Chocamán","estancias",0,214,100,2,"30"
"115","30065","Veracruz","Emiliano Zapata","guarderias",8,7045,130,46,"30"
"116","30065","Veracruz","Emiliano Zapata","asilos",1,5841,324,17,"30"
"117","30065","Veracruz","Emiliano Zapata","estancias",0,1115,100,11,"30"
"118","30067","Veracruz","Filomeno Mata","guarderias",1,2766,130,20,"30"
"119","30067","Veracruz","Filomeno Mata","asilos",0,846,324,3,"30"
"120","30067","Veracruz","Filomeno Mata","estancias",0,159,100,2,"30"
"121","30068","Veracruz","Fortín","guarderias",11,4922,130,27,"30"
"122","30068","Veracruz","Fortín","asilos",1,6226,324,18,"30"
"123","30068","Veracruz","Fortín","estancias",0,719,100,7,"30"
"124","30069","Veracruz","Gutiérrez Zamora","guarderias",4,1810,130,10,"30"
"125","30069","Veracruz","Gutiérrez Zamora","asilos",0,3684,324,11,"30"
"126","30069","Veracruz","Gutiérrez Zamora","estancias",0,256,100,3,"30"
"127","30071","Veracruz","Huatusco","guarderias",4,5707,130,40,"30"
"128","30071","Veracruz","Huatusco","asilos",1,3963,324,11,"30"
"129","30071","Veracruz","Huatusco","estancias",0,612,100,6,"30"
"130","30072","Veracruz","Huayacocotla","guarderias",1,2537,130,19,"30"
"131","30072","Veracruz","Huayacocotla","asilos",0,1872,324,6,"30"
"132","30072","Veracruz","Huayacocotla","estancias",0,222,100,2,"30"
"133","30079","Veracruz","Ixhuacán de los Reyes","guarderias",1,1322,130,9,"30"
"134","30079","Veracruz","Ixhuacán de los Reyes","asilos",0,920,324,3,"30"
"135","30079","Veracruz","Ixhuacán de los Reyes","estancias",1,221,100,1,"30"
"136","30081","Veracruz","Ixhuatlancillo","guarderias",1,2330,130,17,"30"
"137","30081","Veracruz","Ixhuatlancillo","asilos",0,1502,324,5,"30"
"138","30081","Veracruz","Ixhuatlancillo","estancias",0,282,100,3,"30"
"139","30085","Veracruz","Ixtaczoquitlán","guarderias",2,6494,130,48,"30"
"140","30085","Veracruz","Ixtaczoquitlán","asilos",0,5313,324,16,"30"
"141","30085","Veracruz","Ixtaczoquitlán","estancias",0,866,100,9,"30"
"142","30086","Veracruz","Jalacingo","guarderias",2,5966,130,44,"30"
"143","30086","Veracruz","Jalacingo","asilos",0,2858,324,9,"30"
"144","30086","Veracruz","Jalacingo","estancias",0,626,100,6,"30"
"145","30087","Veracruz","Xalapa","guarderias",75,39588,130,230,"30"
"146","30087","Veracruz","Xalapa","asilos",2,41582,324,126,"30"
"147","30087","Veracruz","Xalapa","estancias",8,5682,100,49,"30"
"148","30088","Veracruz","Jalcomulco","guarderias",1,375,130,2,"30"
"149","30088","Veracruz","Jalcomulco","asilos",0,610,324,2,"30"
"150","30088","Veracruz","Jalcomulco","estancias",0,54,100,1,"30"
"151","30089","Veracruz","Jáltipan","guarderias",4,3274,130,21,"30"
"152","30089","Veracruz","Jáltipan","asilos",1,4244,324,12,"30"
"153","30089","Veracruz","Jáltipan","estancias",0,655,100,7,"30"
"154","30090","Veracruz","Jamapa","guarderias",1,1015,130,7,"30"
"155","30090","Veracruz","Jamapa","asilos",0,1253,324,4,"30"
"156","30090","Veracruz","Jamapa","estancias",0,152,100,2,"30"
"157","30092","Veracruz","Xico","guarderias",7,3712,130,22,"30"
"158","30092","Veracruz","Xico","asilos",0,2838,324,9,"30"
"159","30092","Veracruz","Xico","estancias",0,395,100,4,"30"
"160","30093","Veracruz","Jilotepec","guarderias",1,1286,130,9,"30"
"161","30093","Veracruz","Jilotepec","asilos",0,1406,324,4,"30"
"162","30093","Veracruz","Jilotepec","estancias",0,192,100,2,"30"
"163","30095","Veracruz","Juchique de Ferrer","guarderias",1,1385,130,10,"30"
"164","30095","Veracruz","Juchique de Ferrer","asilos",0,1904,324,6,"30"
"165","30095","Veracruz","Juchique de Ferrer","estancias",0,218,100,2,"30"
"166","30097","Veracruz","Lerdo de Tejada","guarderias",2,1252,130,8,"30"
