"","inegi","name_ent","name_mun","concepto","est","cuidar","razon","faltan_est","ent"
"1","23001","Quintana Roo","Cozumel","guarderias",19,8334,130,45,"23"
"2","23001","Quintana Roo","Cozumel","asilos",0,3773,324,12,"23"
"3","23001","Quintana Roo","Cozumel","estancias",0,956,100,10,"23"
"4","23002","Quintana Roo","Felipe Carrillo Puerto","guarderias",3,10389,130,77,"23"
"5","23002","Quintana Roo","Felipe Carrillo Puerto","asilos",1,4832,324,14,"23"
"6","23002","Quintana Roo","Felipe Carrillo Puerto","estancias",1,917,100,8,"23"
"7","23003","Quintana Roo","Isla Mujeres","guarderias",1,2302,130,17,"23"
"8","23003","Quintana Roo","Isla Mujeres","asilos",0,849,324,3,"23"
"9","23003","Quintana Roo","Isla Mujeres","estancias",0,123,100,1,"23"
"10","23004","Quintana Roo","Othón P. Blanco","guarderias",26,20518,130,132,"23"
"11","23004","Quintana Roo","Othón P. Blanco","asilos",1,15833,324,48,"23"
"12","23004","Quintana Roo","Othón P. Blanco","estancias",0,2036,100,20,"23"
"13","23005","Quintana Roo","Benito Juárez","guarderias",86,84200,130,562,"23"
"14","23005","Quintana Roo","Benito Juárez","asilos",2,32656,324,99,"23"
"15","23005","Quintana Roo","Benito Juárez","estancias",3,8467,100,82,"23"
"16","23007","Quintana Roo","Lázaro Cárdenas","guarderias",2,3474,130,25,"23"
"17","23007","Quintana Roo","Lázaro Cárdenas","asilos",0,1695,324,5,"23"
"18","23007","Quintana Roo","Lázaro Cárdenas","estancias",0,429,100,4,"23"
"19","23008","Quintana Roo","Solidaridad","guarderias",31,36822,130,252,"23"
"20","23008","Quintana Roo","Solidaridad","asilos",0,6069,324,19,"23"
"21","23008","Quintana Roo","Solidaridad","estancias",0,2456,100,25,"23"
"22","23009","Quintana Roo","Tulum","guarderias",2,5768,130,42,"23"
"23","23009","Quintana Roo","Tulum","asilos",0,1235,324,4,"23"
"24","23009","Quintana Roo","Tulum","estancias",2,642,100,4,"23"
"25","23010","Quintana Roo","Bacalar","guarderias",2,4757,130,35,"23"
"26","23010","Quintana Roo","Bacalar","asilos",0,3020,324,9,"23"
"27","23010","Quintana Roo","Bacalar","estancias",0,525,100,5,"23"
"28","23011","Quintana Roo","Puerto Morelos","guarderias",6,2584,130,14,"23"
"29","23011","Quintana Roo","Puerto Morelos","asilos",0,1548,324,5,"23"
"30","23011","Quintana Roo","Puerto Morelos","estancias",0,380,100,4,"23"
"31","23006","Quintana Roo","José María Morelos","guarderias",0,0,130,0,"23"
"32","23006","Quintana Roo","José María Morelos","asilos",0,0,324,0,"23"
"33","23006","Quintana Roo","José María Morelos","estancias",0,0,100,0,"23"
