"","inegi","name_ent","name_mun","concepto","est","cuidar","razon","faltan_est","ent"
"1","24001","San Luis Potosí","Ahualulco del Sonido 13","guarderias",1,2275,130,16,"24"
"2","24001","San Luis Potosí","Ahualulco del Sonido 13","asilos",0,1939,324,6,"24"
"3","24001","San Luis Potosí","Ahualulco del Sonido 13","estancias",0,261,100,3,"24"
"4","24003","San Luis Potosí","Aquismón","guarderias",1,6136,130,46,"24"
"5","24003","San Luis Potosí","Aquismón","asilos",0,4105,324,13,"24"
"6","24003","San Luis Potosí","Aquismón","estancias",0,735,100,7,"24"
"7","24005","San Luis Potosí","Cárdenas","guarderias",2,1890,130,13,"24"
"8","24005","San Luis Potosí","Cárdenas","asilos",1,2068,324,5,"24"
"9","24005","San Luis Potosí","Cárdenas","estancias",0,335,100,3,"24"
"10","24007","San Luis Potosí","Cedral","guarderias",5,2160,130,12,"24"
"11","24007","San Luis Potosí","Cedral","asilos",0,1847,324,6,"24"
"12","24007","San Luis Potosí","Cedral","estancias",0,310,100,3,"24"
"13","24008","San Luis Potosí","Cerritos","guarderias",1,2141,130,15,"24"
"14","24008","San Luis Potosí","Cerritos","asilos",1,2742,324,7,"24"
"15","24008","San Luis Potosí","Cerritos","estancias",0,353,100,4,"24"
"16","24010","San Luis Potosí","Ciudad del Maíz","guarderias",1,3588,130,27,"24"
"17","24010","San Luis Potosí","Ciudad del Maíz","asilos",0,3135,324,10,"24"
"18","24010","San Luis Potosí","Ciudad del Maíz","estancias",0,480,100,5,"24"
"19","24011","San Luis Potosí","Ciudad Fernández","guarderias",0,5176,130,40,"24"
"20","24011","San Luis Potosí","Ciudad Fernández","asilos",0,4082,324,13,"24"
"21","24011","San Luis Potosí","Ciudad Fernández","estancias",1,744,100,6,"24"
"22","24012","San Luis Potosí","Tancanhuitz","guarderias",1,2065,130,15,"24"
"23","24012","San Luis Potosí","Tancanhuitz","asilos",0,2142,324,7,"24"
"24","24012","San Luis Potosí","Tancanhuitz","estancias",0,399,100,4,"24"
"25","24013","San Luis Potosí","Ciudad Valles","guarderias",18,16453,130,109,"24"
"26","24013","San Luis Potosí","Ciudad Valles","asilos",1,17029,324,52,"24"
"27","24013","San Luis Potosí","Ciudad Valles","estancias",0,3250,100,32,"24"
"28","24015","San Luis Potosí","Charcas","guarderias",2,2288,130,16,"24"
"29","24015","San Luis Potosí","Charcas","asilos",0,2056,324,6,"24"
"30","24015","San Luis Potosí","Charcas","estancias",0,230,100,2,"24"
"31","24016","San Luis Potosí","Ebano","guarderias",3,4429,130,31,"24"
"32","24016","San Luis Potosí","Ebano","asilos",1,3906,324,11,"24"
"33","24016","San Luis Potosí","Ebano","estancias",0,706,100,7,"24"
"34","24020","San Luis Potosí","Matehuala","guarderias",18,10120,130,60,"24"
"35","24020","San Luis Potosí","Matehuala","asilos",1,6855,324,20,"24"
"36","24020","San Luis Potosí","Matehuala","estancias",2,1257,100,11,"24"
"37","24021","San Luis Potosí","Mexquitic de Carmona","guarderias",1,6900,130,52,"24"
"38","24021","San Luis Potosí","Mexquitic de Carmona","asilos",0,4620,324,14,"24"
"39","24021","San Luis Potosí","Mexquitic de Carmona","estancias",0,892,100,9,"24"
"40","24022","San Luis Potosí","Moctezuma","guarderias",1,2150,130,16,"24"
"41","24022","San Luis Potosí","Moctezuma","asilos",0,1930,324,6,"24"
"42","24022","San Luis Potosí","Moctezuma","estancias",0,305,100,3,"24"
"43","24024","San Luis Potosí","Rioverde","guarderias",3,10026,130,74,"24"
"44","24024","San Luis Potosí","Rioverde","asilos",1,8475,324,25,"24"
"45","24024","San Luis Potosí","Rioverde","estancias",0,1434,100,14,"24"
"46","24025","San Luis Potosí","Salinas","guarderias",3,3705,130,26,"24"
"47","24025","San Luis Potosí","Salinas","asilos",1,2254,324,6,"24"
"48","24025","San Luis Potosí","Salinas","estancias",0,413,100,4,"24"
"49","24027","San Luis Potosí","San Ciro de Acosta","guarderias",2,1017,130,6,"24"
"50","24027","San Luis Potosí","San Ciro de Acosta","asilos",1,1688,324,4,"24"
"51","24027","San Luis Potosí","San Ciro de Acosta","estancias",0,189,100,2,"24"
"52","24028","San Luis Potosí","San Luis Potosí","guarderias",103,80625,130,517,"24"
"53","24028","San Luis Potosí","San Luis Potosí","asilos",19,65736,324,184,"24"
"54","24028","San Luis Potosí","San Luis Potosí","estancias",7,8694,100,80,"24"
