"","inegi","name_ent","name_mun","concepto","est","cuidar","razon","faltan_est","ent"
"1","09002","Ciudad de México","Azcapotzalco","guarderias",31,25583,130,166,"09"
"2","09002","Ciudad de México","Azcapotzalco","asilos",6,51147,324,152,"09"
"3","09002","Ciudad de México","Azcapotzalco","estancias",0,6282,100,63,"09"
"4","09003","Ciudad de México","Coyoacán","guarderias",64,33843,130,196,"09"
"5","09003","Ciudad de México","Coyoacán","asilos",16,82343,324,238,"09"
"6","09003","Ciudad de México","Coyoacán","estancias",3,8287,100,80,"09"
"7","09004","Ciudad de México","Cuajimalpa de Morelos","guarderias",15,16729,130,114,"09"
"8","09004","Ciudad de México","Cuajimalpa de Morelos","asilos",5,19661,324,56,"09"
"9","09004","Ciudad de México","Cuajimalpa de Morelos","estancias",3,1725,100,14,"09"
"10","09005","Ciudad de México","Gustavo A. Madero","guarderias",73,74246,130,498,"09"
"11","09005","Ciudad de México","Gustavo A. Madero","asilos",11,137107,324,412,"09"
"12","09005","Ciudad de México","Gustavo A. Madero","estancias",7,16795,100,161,"09"
"13","09006","Ciudad de México","Iztacalco","guarderias",32,25922,130,167,"09"
"14","09006","Ciudad de México","Iztacalco","asilos",1,44475,324,136,"09"
"15","09006","Ciudad de México","Iztacalco","estancias",1,4844,100,47,"09"
"16","09007","Ciudad de México","Iztapalapa","guarderias",102,128253,130,885,"09"
"17","09007","Ciudad de México","Iztapalapa","asilos",7,165236,324,503,"09"
"18","09007","Ciudad de México","Iztapalapa","estancias",5,21836,100,213,"09"
"19","09008","Ciudad de México","La Magdalena Contreras","guarderias",23,16904,130,107,"09"
"20","09008","Ciudad de México","La Magdalena Contreras","asilos",5,25224,324,73,"09"
"21","09008","Ciudad de México","La Magdalena Contreras","estancias",2,3152,100,30,"09"
"22","09009","Ciudad de México","Milpa Alta","guarderias",17,13755,130,89,"09"
"23","09009","Ciudad de México","Milpa Alta","asilos",0,9153,324,28,"09"
"24","09009","Ciudad de México","Milpa Alta","estancias",0,1676,100,17,"09"
"25","09010","Ciudad de México","Álvaro Obregón","guarderias",58,48061,130,312,"09"
"26","09010","Ciudad de México","Álvaro Obregón","asilos",5,77083,324,233,"09"
"27","09010","Ciudad de México","Álvaro Obregón","estancias",4,8667,100,83,"09"
"28","09011","Ciudad de México","Tláhuac","guarderias",36,28812,130,186,"09"
"29","09011","Ciudad de México","Tláhuac","asilos",2,26173,324,79,"09"
"30","09011","Ciudad de México","Tláhuac","estancias",5,5166,100,47,"09"
"31","09012","Ciudad de México","Tlalpan","guarderias",67,47951,130,302,"09"
"32","09012","Ciudad de México","Tlalpan","asilos",13,61457,324,177,"09"
"33","09012","Ciudad de México","Tlalpan","estancias",8,7706,100,69,"09"
"34","09013","Ciudad de México","Xochimilco","guarderias",36,31208,130,204,"09"
"35","09013","Ciudad de México","Xochimilco","asilos",9,36052,324,102,"09"
"36","09013","Ciudad de México","Xochimilco","estancias",1,5624,100,55,"09"
"37","09014","Ciudad de México","Benito Juárez","guarderias",52,19523,130,98,"09"
"38","09014","Ciudad de México","Benito Juárez","asilos",14,55597,324,158,"09"
"39","09014","Ciudad de México","Benito Juárez","estancias",4,7017,100,66,"09"
"40","09015","Ciudad de México","Cuauhtémoc","guarderias",61,31493,130,181,"09"
"41","09015","Ciudad de México","Cuauhtémoc","asilos",8,54695,324,161,"09"
"42","09015","Ciudad de México","Cuauhtémoc","estancias",4,6768,100,64,"09"
"43","09016","Ciudad de México","Miguel Hidalgo","guarderias",51,24529,130,138,"09"
"44","09016","Ciudad de México","Miguel Hidalgo","asilos",5,51662,324,154,"09"
"45","09016","Ciudad de México","Miguel Hidalgo","estancias",1,5413,100,53,"09"
"46","09017","Ciudad de México","Venustiano Carranza","guarderias",38,28806,130,184,"09"
"47","09017","Ciudad de México","Venustiano Carranza","asilos",0,46627,324,144,"09"
"48","09017","Ciudad de México","Venustiano Carranza","estancias",1,5361,100,53,"09"
