"","inegi","name_ent","name_mun","concepto","est","cuidar","razon","faltan_est","ent"
"1","08001","Chihuahua","Ahumada","guarderias",1,2022,130,15,"08"
"2","08001","Chihuahua","Ahumada","asilos",0,989,324,3,"08"
"3","08001","Chihuahua","Ahumada","estancias",0,148,100,1,"08"
"4","08002","Chihuahua","Aldama","guarderias",4,2574,130,16,"08"
"5","08002","Chihuahua","Aldama","asilos",1,2052,324,5,"08"
"6","08002","Chihuahua","Aldama","estancias",0,315,100,3,"08"
"7","08003","Chihuahua","Allende","guarderias",0,804,130,6,"08"
"8","08003","Chihuahua","Allende","asilos",1,1025,324,2,"08"
"9","08003","Chihuahua","Allende","estancias",0,72,100,1,"08"
"10","08004","Chihuahua","Aquiles Serdán","guarderias",5,2620,130,15,"08"
"11","08004","Chihuahua","Aquiles Serdán","asilos",0,540,324,2,"08"
"12","08004","Chihuahua","Aquiles Serdán","estancias",0,149,100,1,"08"
"13","08006","Chihuahua","Bachíniva","guarderias",0,558,130,4,"08"
"14","08006","Chihuahua","Bachíniva","asilos",1,826,324,2,"08"
"15","08006","Chihuahua","Bachíniva","estancias",0,78,100,1,"08"
"16","08009","Chihuahua","Bocoyna","guarderias",1,2615,130,19,"08"
"17","08009","Chihuahua","Bocoyna","asilos",0,1725,324,5,"08"
"18","08009","Chihuahua","Bocoyna","estancias",0,290,100,3,"08"
"19","08010","Chihuahua","Buenaventura","guarderias",2,2860,130,20,"08"
"20","08010","Chihuahua","Buenaventura","asilos",1,1902,324,5,"08"
"21","08010","Chihuahua","Buenaventura","estancias",0,191,100,2,"08"
"22","08011","Chihuahua","Camargo","guarderias",12,4498,130,23,"08"
"23","08011","Chihuahua","Camargo","asilos",1,4501,324,13,"08"
"24","08011","Chihuahua","Camargo","estancias",0,484,100,5,"08"
"25","08016","Chihuahua","La Cruz","guarderias",1,329,130,2,"08"
"26","08016","Chihuahua","La Cruz","asilos",0,411,324,1,"08"
"27","08016","Chihuahua","La Cruz","estancias",0,39,100,0,"08"
"28","08017","Chihuahua","Cuauhtémoc","guarderias",27,17883,130,111,"08"
"29","08017","Chihuahua","Cuauhtémoc","asilos",5,12452,324,33,"08"
"30","08017","Chihuahua","Cuauhtémoc","estancias",3,2547,100,22,"08"
"31","08019","Chihuahua","Chihuahua","guarderias",217,80519,130,402,"08"
"32","08019","Chihuahua","Chihuahua","asilos",29,61756,324,162,"08"
"33","08019","Chihuahua","Chihuahua","estancias",7,10232,100,95,"08"
"34","08020","Chihuahua","Chínipas","guarderias",0,738,130,6,"08"
"35","08020","Chihuahua","Chínipas","asilos",1,546,324,1,"08"
"36","08020","Chihuahua","Chínipas","estancias",0,42,100,0,"08"
"37","08021","Chihuahua","Delicias","guarderias",31,15403,130,87,"08"
"38","08021","Chihuahua","Delicias","asilos",3,11175,324,31,"08"
"39","08021","Chihuahua","Delicias","estancias",2,2517,100,23,"08"
"40","08027","Chihuahua","Guachochi","guarderias",2,6036,130,44,"08"
"41","08027","Chihuahua","Guachochi","asilos",0,3092,324,10,"08"
"42","08027","Chihuahua","Guachochi","estancias",0,346,100,3,"08"
"43","08029","Chihuahua","Guadalupe y Calvo","guarderias",1,7515,130,57,"08"
"44","08029","Chihuahua","Guadalupe y Calvo","asilos",0,2490,324,8,"08"
"45","08029","Chihuahua","Guadalupe y Calvo","estancias",0,367,100,4,"08"
"46","08031","Chihuahua","Guerrero","guarderias",0,3624,130,28,"08"
"47","08031","Chihuahua","Guerrero","asilos",1,3857,324,11,"08"
"48","08031","Chihuahua","Guerrero","estancias",0,459,100,5,"08"
"49","08032","Chihuahua","Hidalgo del Parral","guarderias",12,11770,130,79,"08"
"50","08032","Chihuahua","Hidalgo del Parral","asilos",1,9648,324,29,"08"
"51","08032","Chihuahua","Hidalgo del Parral","estancias",1,1882,100,18,"08"
"52","08034","Chihuahua","Ignacio Zaragoza","guarderias",1,413,130,2,"08"
"53","08034","Chihuahua","Ignacio Zaragoza","asilos",0,853,324,3,"08"
"54","08034","Chihuahua","Ignacio Zaragoza","estancias",0,81,100,1,"08"
"55","08036","Chihuahua","Jiménez","guarderias",5,4685,130,31,"08"
"56","08036","Chihuahua","Jiménez","asilos",1,2737,324,7,"08"
"57","08036","Chihuahua","Jiménez","estancias",0,530,100,5,"08"
"58","08037","Chihuahua","Juárez","guarderias",166,144851,130,948,"08"
"59","08037","Chihuahua","Juárez","asilos",14,84196,324,246,"08"
"60","08037","Chihuahua","Juárez","estancias",7,19448,100,187,"08"
"61","08038","Chihuahua","Julimes","guarderias",0,540,130,4,"08"
"62","08038","Chihuahua","Julimes","asilos",1,545,324,1,"08"
"63","08038","Chihuahua","Julimes","estancias",0,38,100,0,"08"
"64","08040","Chihuahua","Madera","guarderias",2,2686,130,19,"08"
"65","08040","Chihuahua","Madera","asilos",3,2713,324,5,"08"
"66","08040","Chihuahua","Madera","estancias",0,410,100,4,"08"
"67","08045","Chihuahua","Meoqui","guarderias",6,4866,130,31,"08"
"68","08045","Chihuahua","Meoqui","asilos",0,3521,324,11,"08"
"69","08045","Chihuahua","Meoqui","estancias",0,655,100,7,"08"
"70","08048","Chihuahua","Namiquipa","guarderias",0,2135,130,16,"08"
"71","08048","Chihuahua","Namiquipa","asilos",1,2894,324,8,"08"
"72","08048","Chihuahua","Namiquipa","estancias",0,344,100,3,"08"
"73","08050","Chihuahua","Nuevo Casas Grandes","guarderias",7,6715,130,45,"08"
"74","08050","Chihuahua","Nuevo Casas Grandes","asilos",2,5122,324,14,"08"
"75","08050","Chihuahua","Nuevo Casas Grandes","estancias",0,1058,100,11,"08"
"76","08052","Chihuahua","Ojinaga","guarderias",1,2654,130,19,"08"
"77","08052","Chihuahua","Ojinaga","asilos",0,2295,324,7,"08"
"78","08052","Chihuahua","Ojinaga","estancias",0,351,100,4,"08"
"79","08053","Chihuahua","Praxedis G. Guerrero","guarderias",0,488,130,4,"08"
"80","08053","Chihuahua","Praxedis G. Guerrero","asilos",0,583,324,2,"08"
"81","08053","Chihuahua","Praxedis G. Guerrero","estancias",1,51,100,0,"08"
"82","08055","Chihuahua","Rosales","guarderias",1,1329,130,9,"08"
"83","08055","Chihuahua","Rosales","asilos",0,1750,324,5,"08"
"84","08055","Chihuahua","Rosales","estancias",0,146,100,1,"08"
"85","08060","Chihuahua","Santa Bárbara","guarderias",0,1346,130,10,"08"
"86","08060","Chihuahua","Santa Bárbara","asilos",1,1172,324,3,"08"
"87","08060","Chihuahua","Santa Bárbara","estancias",0,178,100,2,"08"
"88","08061","Chihuahua","Satevó","guarderias",1,233,130,1,"08"
"89","08061","Chihuahua","Satevó","asilos",0,634,324,2,"08"
"90","08061","Chihuahua","Satevó","estancias",0,46,100,0,"08"
"91","08062","Chihuahua","Saucillo","guarderias",3,3133,130,21,"08"
"92","08062","Chihuahua","Saucillo","asilos",0,2843,324,9,"08"
"93","08062","Chihuahua","Saucillo","estancias",0,304,100,3,"08"
"94","08066","Chihuahua","Uruachi","guarderias",0,778,130,6,"08"
"95","08066","Chihuahua","Uruachi","asilos",1,561,324,1,"08"
"96","08066","Chihuahua","Uruachi","estancias",0,68,100,1,"08"
"97","08005","Chihuahua","Ascensión","guarderias",0,0,130,0,"08"
"98","08005","Chihuahua","Ascensión","asilos",0,0,324,0,"08"
"99","08005","Chihuahua","Ascensión","estancias",0,0,100,0,"08"
"100","08007","Chihuahua","Balleza","guarderias",0,0,130,0,"08"
"101","08007","Chihuahua","Balleza","asilos",0,0,324,0,"08"
"102","08007","Chihuahua","Balleza","estancias",0,0,100,0,"08"
"103","08008","Chihuahua","Batopilas de Manuel Gómez Morín","guarderias",0,0,130,0,"08"
"104","08008","Chihuahua","Batopilas de Manuel Gómez Morín","asilos",0,0,324,0,"08"
"105","08008","Chihuahua","Batopilas de Manuel Gómez Morín","estancias",0,0,100,0,"08"
"106","08012","Chihuahua","Carichí","guarderias",0,0,130,0,"08"
"107","08012","Chihuahua","Carichí","asilos",0,0,324,0,"08"
"108","08012","Chihuahua","Carichí","estancias",0,0,100,0,"08"
"109","08013","Chihuahua","Casas Grandes","guarderias",0,0,130,0,"08"
"110","08013","Chihuahua","Casas Grandes","asilos",0,0,324,0,"08"
"111","08013","Chihuahua","Casas Grandes","estancias",0,0,100,0,"08"
"112","08014","Chihuahua","Coronado","guarderias",0,0,130,0,"08"
"113","08014","Chihuahua","Coronado","asilos",0,0,324,0,"08"
"114","08014","Chihuahua","Coronado","estancias",0,0,100,0,"08"
"115","08015","Chihuahua","Coyame del Sotol","guarderias",0,0,130,0,"08"
"116","08015","Chihuahua","Coyame del Sotol","asilos",0,0,324,0,"08"
"117","08015","Chihuahua","Coyame del Sotol","estancias",0,0,100,0,"08"
"118","08018","Chihuahua","Cusihuiriachi","guarderias",0,0,130,0,"08"
"119","08018","Chihuahua","Cusihuiriachi","asilos",0,0,324,0,"08"
"120","08018","Chihuahua","Cusihuiriachi","estancias",0,0,100,0,"08"
"121","08022","Chihuahua","Dr. Belisario Domínguez","guarderias",0,0,130,0,"08"
