"","inegi","name_ent","name_mun","concepto","est","cuidar","razon","faltan_est","ent"
"1","12001","Guerrero","Acapulco de Juárez","guarderias",58,71583,130,493,"12"
"2","12001","Guerrero","Acapulco de Juárez","asilos",2,64831,324,198,"12"
"3","12001","Guerrero","Acapulco de Juárez","estancias",4,9805,100,94,"12"
"4","12003","Guerrero","Ajuchitlán del Progreso","guarderias",2,4866,130,35,"12"
"5","12003","Guerrero","Ajuchitlán del Progreso","asilos",0,3465,324,11,"12"
"6","12003","Guerrero","Ajuchitlán del Progreso","estancias",0,577,100,6,"12"
"7","12005","Guerrero","Alpoyeca","guarderias",1,893,130,6,"12"
"8","12005","Guerrero","Alpoyeca","asilos",0,731,324,2,"12"
"9","12005","Guerrero","Alpoyeca","estancias",0,135,100,1,"12"
"10","12007","Guerrero","Arcelia","guarderias",4,4206,130,28,"12"
"11","12007","Guerrero","Arcelia","asilos",1,3088,324,9,"12"
"12","12007","Guerrero","Arcelia","estancias",0,357,100,4,"12"
"13","12012","Guerrero","Ayutla de los Libres","guarderias",3,8812,130,65,"12"
"14","12012","Guerrero","Ayutla de los Libres","asilos",1,3967,324,11,"12"
"15","12012","Guerrero","Ayutla de los Libres","estancias",0,581,100,6,"12"
"16","12013","Guerrero","Azoyú","guarderias",2,1510,130,10,"12"
"17","12013","Guerrero","Azoyú","asilos",0,1829,324,6,"12"
"18","12013","Guerrero","Azoyú","estancias",0,192,100,2,"12"
"19","12015","Guerrero","Buenavista de Cuéllar","guarderias",2,1203,130,7,"12"
"20","12015","Guerrero","Buenavista de Cuéllar","asilos",0,1502,324,5,"12"
"21","12015","Guerrero","Buenavista de Cuéllar","estancias",0,237,100,2,"12"
"22","12018","Guerrero","Copala","guarderias",2,1701,130,11,"12"
"23","12018","Guerrero","Copala","asilos",0,1332,324,4,"12"
"24","12018","Guerrero","Copala","estancias",0,220,100,2,"12"
"25","12021","Guerrero","Coyuca de Benítez","guarderias",2,6777,130,50,"12"
"26","12021","Guerrero","Coyuca de Benítez","asilos",0,6910,324,21,"12"
"27","12021","Guerrero","Coyuca de Benítez","estancias",0,692,100,7,"12"
"28","12022","Guerrero","Coyuca de Catalán","guarderias",2,4536,130,33,"12"
"29","12022","Guerrero","Coyuca de Catalán","asilos",0,4767,324,15,"12"
"30","12022","Guerrero","Coyuca de Catalán","estancias",1,541,100,4,"12"
"31","12023","Guerrero","Cuajinicuilapa","guarderias",1,3270,130,24,"12"
"32","12023","Guerrero","Cuajinicuilapa","asilos",0,2447,324,8,"12"
"33","12023","Guerrero","Cuajinicuilapa","estancias",0,343,100,3,"12"
"34","12024","Guerrero","Cualác","guarderias",1,1010,130,7,"12"
"35","12024","Guerrero","Cualác","asilos",0,740,324,2,"12"
"36","12024","Guerrero","Cualác","estancias",0,121,100,1,"12"
"37","12025","Guerrero","Cuautepec","guarderias",0,2173,130,17,"12"
"38","12025","Guerrero","Cuautepec","asilos",0,1550,324,5,"12"
"39","12025","Guerrero","Cuautepec","estancias",1,179,100,1,"12"
"40","12027","Guerrero","Cutzamala de Pinzón","guarderias",1,2551,130,19,"12"
"41","12027","Guerrero","Cutzamala de Pinzón","asilos",0,2543,324,8,"12"
"42","12027","Guerrero","Cutzamala de Pinzón","estancias",0,399,100,4,"12"
"43","12028","Guerrero","Chilapa de Álvarez","guarderias",5,16243,130,120,"12"
"44","12028","Guerrero","Chilapa de Álvarez","asilos",0,9074,324,28,"12"
"45","12028","Guerrero","Chilapa de Álvarez","estancias",0,1030,100,10,"12"
"46","12029","Guerrero","Chilpancingo de los Bravo","guarderias",44,34808,130,224,"12"
"47","12029","Guerrero","Chilpancingo de los Bravo","asilos",0,17036,324,53,"12"
"48","12029","Guerrero","Chilpancingo de los Bravo","estancias",4,2223,100,18,"12"
"49","12030","Guerrero","Florencio Villarreal","guarderias",1,2668,130,20,"12"
"50","12030","Guerrero","Florencio Villarreal","asilos",0,2010,324,6,"12"
"51","12030","Guerrero","Florencio Villarreal","estancias",0,262,100,3,"12"
"52","12032","Guerrero","General Heliodoro Castillo","guarderias",2,5548,130,41,"12"
"53","12032","Guerrero","General Heliodoro Castillo","asilos",0,2507,324,8,"12"
"54","12032","Guerrero","General Heliodoro Castillo","estancias",0,406,100,4,"12"
"55","12033","Guerrero","Huamuxtitlán","guarderias",3,2259,130,14,"12"
"56","12033","Guerrero","Huamuxtitlán","asilos",0,1518,324,5,"12"
"57","12033","Guerrero","Huamuxtitlán","estancias",0,183,100,2,"12"
"58","12034","Guerrero","Huitzuco de los Figueroa","guarderias",4,4137,130,28,"12"
"59","12034","Guerrero","Huitzuco de los Figueroa","asilos",1,4444,324,13,"12"
"60","12034","Guerrero","Huitzuco de los Figueroa","estancias",0,495,100,5,"12"
