"","inegi","name_ent","name_mun","concepto","est","cuidar","razon","faltan_est","ent"
"1","20005","Oaxaca","Asunción Ixtaltepec","guarderias",2,1253,130,8,"20"
"2","20005","Oaxaca","Asunción Ixtaltepec","asilos",0,2046,324,6,"20"
"3","20005","Oaxaca","Asunción Ixtaltepec","estancias",0,156,100,2,"20"
"4","20006","Oaxaca","Asunción Nochixtlán","guarderias",1,2455,130,18,"20"
"5","20006","Oaxaca","Asunción Nochixtlán","asilos",1,1834,324,5,"20"
"6","20006","Oaxaca","Asunción Nochixtlán","estancias",0,204,100,2,"20"
"7","20010","Oaxaca","El Barrio de la Soledad","guarderias",1,1073,130,7,"20"
"8","20010","Oaxaca","El Barrio de la Soledad","asilos",0,1780,324,5,"20"
"9","20010","Oaxaca","El Barrio de la Soledad","estancias",1,270,100,2,"20"
"10","20013","Oaxaca","Ciénega de Zimatlán","guarderias",1,258,130,1,"20"
"11","20013","Oaxaca","Ciénega de Zimatlán","asilos",0,421,324,1,"20"
"12","20013","Oaxaca","Ciénega de Zimatlán","estancias",0,54,100,1,"20"
"13","20021","Oaxaca","Cosolapa","guarderias",1,1583,130,11,"20"
"14","20021","Oaxaca","Cosolapa","asilos",0,1254,324,4,"20"
"15","20021","Oaxaca","Cosolapa","estancias",0,190,100,2,"20"
"16","20023","Oaxaca","Cuilápam de Guerrero","guarderias",1,2447,130,18,"20"
"17","20023","Oaxaca","Cuilápam de Guerrero","asilos",1,1840,324,5,"20"
"18","20023","Oaxaca","Cuilápam de Guerrero","estancias",0,225,100,2,"20"
"19","20030","Oaxaca","El Espinal","guarderias",2,704,130,3,"20"
"20","20030","Oaxaca","El Espinal","asilos",0,1013,324,3,"20"
"21","20030","Oaxaca","El Espinal","estancias",0,70,100,1,"20"
"22","20033","Oaxaca","Guadalupe Etla","guarderias",1,253,130,1,"20"
"23","20033","Oaxaca","Guadalupe Etla","asilos",0,254,324,1,"20"
"24","20033","Oaxaca","Guadalupe Etla","estancias",0,35,100,0,"20"
"25","20039","Oaxaca","Heroica Ciudad de Huajuapan de León","guarderias",6,8921,130,63,"20"
"26","20039","Oaxaca","Heroica Ciudad de Huajuapan de León","asilos",0,5210,324,16,"20"
"27","20039","Oaxaca","Heroica Ciudad de Huajuapan de León","estancias",1,771,100,7,"20"
"28","20041","Oaxaca","Huautla de Jiménez","guarderias",1,3525,130,26,"20"
"29","20041","Oaxaca","Huautla de Jiménez","asilos",0,3542,324,11,"20"
"30","20041","Oaxaca","Huautla de Jiménez","estancias",0,318,100,3,"20"
"31","20042","Oaxaca","Ixtlán de Juárez","guarderias",1,948,130,6,"20"
"32","20042","Oaxaca","Ixtlán de Juárez","asilos",0,732,324,2,"20"
"33","20042","Oaxaca","Ixtlán de Juárez","estancias",0,99,100,1,"20"
"34","20043","Oaxaca","Juchitán de Zaragoza","guarderias",6,10995,130,79,"20"
"35","20043","Oaxaca","Juchitán de Zaragoza","asilos",0,8370,324,26,"20"
"36","20043","Oaxaca","Juchitán de Zaragoza","estancias",0,933,100,9,"20"
"37","20044","Oaxaca","Loma Bonita","guarderias",1,4222,130,31,"20"
"38","20044","Oaxaca","Loma Bonita","asilos",0,4123,324,13,"20"
"39","20044","Oaxaca","Loma Bonita","estancias",0,770,100,8,"20"
"40","20045","Oaxaca","Magdalena Apasco","guarderias",1,637,130,4,"20"
"41","20045","Oaxaca","Magdalena Apasco","asilos",0,581,324,2,"20"
"42","20045","Oaxaca","Magdalena Apasco","estancias",0,71,100,1,"20"
"43","20057","Oaxaca","Matías Romero Avendaño","guarderias",3,4261,130,30,"20"
"44","20057","Oaxaca","Matías Romero Avendaño","asilos",0,3914,324,12,"20"
"45","20057","Oaxaca","Matías Romero Avendaño","estancias",1,742,100,6,"20"
"46","20059","Oaxaca","Miahuatlán de Porfirio Díaz","guarderias",1,6101,130,46,"20"
"47","20059","Oaxaca","Miahuatlán de Porfirio Díaz","asilos",0,3202,324,10,"20"
"48","20059","Oaxaca","Miahuatlán de Porfirio Díaz","estancias",0,463,100,5,"20"
"49","20066","Oaxaca","Santiago Niltepec","guarderias",1,439,130,2,"20"
"50","20066","Oaxaca","Santiago Niltepec","asilos",0,789,324,2,"20"
"51","20066","Oaxaca","Santiago Niltepec","estancias",0,77,100,1,"20"
"52","20067","Oaxaca","Oaxaca de Juárez","guarderias",50,24367,130,137,"20"
"53","20067","Oaxaca","Oaxaca de Juárez","asilos",4,24830,324,73,"20"
"54","20067","Oaxaca","Oaxaca de Juárez","estancias",5,3322,100,28,"20"
"55","20068","Oaxaca","Ocotlán de Morelos","guarderias",5,2372,130,13,"20"
"56","20068","Oaxaca","Ocotlán de Morelos","asilos",0,1940,324,6,"20"
"57","20068","Oaxaca","Ocotlán de Morelos","estancias",0,143,100,1,"20"
"58","20072","Oaxaca","San José del Progreso","guarderias",1,978,130,7,"20"
"59","20072","Oaxaca","San José del Progreso","asilos",0,567,324,2,"20"
"60","20072","Oaxaca","San José del Progreso","estancias",0,116,100,1,"20"
"61","20073","Oaxaca","Putla Villa de Guerrero","guarderias",1,4049,130,30,"20"
"62","20073","Oaxaca","Putla Villa de Guerrero","asilos",0,3542,324,11,"20"
"63","20073","Oaxaca","Putla Villa de Guerrero","estancias",1,867,100,8,"20"
"64","20079","Oaxaca","Salina Cruz","guarderias",8,7849,130,52,"20"
"65","20079","Oaxaca","Salina Cruz","asilos",0,7467,324,23,"20"
"66","20079","Oaxaca","Salina Cruz","estancias",1,1211,100,11,"20"
"67","20084","Oaxaca","San Agustín Etla","guarderias",1,293,130,1,"20"
"68","20084","Oaxaca","San Agustín Etla","asilos",0,470,324,1,"20"
"69","20084","Oaxaca","San Agustín Etla","estancias",0,36,100,0,"20"
"70","20091","Oaxaca","San Andrés Huayápam","guarderias",1,455,130,2,"20"
"71","20091","Oaxaca","San Andrés Huayápam","asilos",0,492,324,2,"20"
"72","20091","Oaxaca","San Andrés Huayápam","estancias",0,42,100,0,"20"
"73","20103","Oaxaca","San Antonino Castillo Velasco","guarderias",1,574,130,3,"20"
"74","20103","Oaxaca","San Antonino Castillo Velasco","asilos",0,568,324,2,"20"
"75","20103","Oaxaca","San Antonino Castillo Velasco","estancias",0,57,100,1,"20"
"76","20107","Oaxaca","San Antonio de la Cal","guarderias",3,2856,130,19,"20"
"77","20107","Oaxaca","San Antonio de la Cal","asilos",0,1286,324,4,"20"
"78","20107","Oaxaca","San Antonio de la Cal","estancias",1,273,100,2,"20"
"79","20108","Oaxaca","San Antonio Huitepec","guarderias",0,300,130,2,"20"
"80","20108","Oaxaca","San Antonio Huitepec","asilos",1,484,324,0,"20"
"81","20108","Oaxaca","San Antonio Huitepec","estancias",0,46,100,0,"20"
"82","20115","Oaxaca","San Bartolo Coyotepec","guarderias",7,951,130,0,"20"
"83","20115","Oaxaca","San Bartolo Coyotepec","asilos",0,699,324,2,"20"
"84","20115","Oaxaca","San Bartolo Coyotepec","estancias",0,112,100,1,"20"
"85","20130","Oaxaca","San Dionisio del Mar","guarderias",0,547,130,4,"20"
"86","20130","Oaxaca","San Dionisio del Mar","asilos",1,457,324,0,"20"
"87","20130","Oaxaca","San Dionisio del Mar","estancias",0,33,100,0,"20"
"88","20143","Oaxaca","San Francisco Ixhuatán","guarderias",1,929,130,6,"20"
"89","20143","Oaxaca","San Francisco Ixhuatán","asilos",0,1053,324,3,"20"
"90","20143","Oaxaca","San Francisco Ixhuatán","estancias",0,132,100,1,"20"
"91","20150","Oaxaca","San Francisco Telixtlahuaca","guarderias",3,1560,130,9,"20"
"92","20150","Oaxaca","San Francisco Telixtlahuaca","asilos",0,960,324,3,"20"
"93","20150","Oaxaca","San Francisco Telixtlahuaca","estancias",0,97,100,1,"20"
"94","20157","Oaxaca","San Jacinto Amilpas","guarderias",3,1384,130,8,"20"
"95","20157","Oaxaca","San Jacinto Amilpas","asilos",0,1033,324,3,"20"
"96","20157","Oaxaca","San Jacinto Amilpas","estancias",0,144,100,1,"20"
"97","20174","Oaxaca","Ánimas Trujano","guarderias",2,442,130,1,"20"
"98","20174","Oaxaca","Ánimas Trujano","asilos",0,336,324,1,"20"
"99","20174","Oaxaca","Ánimas Trujano","estancias",0,47,100,0,"20"
"100","20177","Oaxaca","San Juan Bautista Cuicatlán","guarderias",1,1106,130,8,"20"
"101","20177","Oaxaca","San Juan Bautista Cuicatlán","asilos",0,1003,324,3,"20"
"102","20177","Oaxaca","San Juan Bautista Cuicatlán","estancias",0,104,100,1,"20"
"103","20184","Oaxaca","San Juan Bautista Tuxtepec","guarderias",22,16574,130,105,"20"
"104","20184","Oaxaca","San Juan Bautista Tuxtepec","asilos",1,11072,324,33,"20"
"105","20184","Oaxaca","San Juan Bautista Tuxtepec","estancias",0,1673,100,17,"20"
"106","20190","Oaxaca","San Juan Cotzocón","guarderias",1,2830,130,21,"20"
"107","20190","Oaxaca","San Juan Cotzocón","asilos",0,1873,324,6,"20"
"108","20190","Oaxaca","San Juan Cotzocón","estancias",0,222,100,2,"20"
"109","20213","Oaxaca","San Juan Quiahije","guarderias",1,676,130,4,"20"
"110","20213","Oaxaca","San Juan Quiahije","asilos",0,306,324,1,"20"
"111","20213","Oaxaca","San Juan Quiahije","estancias",0,76,100,1,"20"
"112","20216","Oaxaca","San Juan Tabaá","guarderias",1,149,130,0,"20"
"113","20216","Oaxaca","San Juan Tabaá","asilos",0,159,324,0,"20"
"114","20216","Oaxaca","San Juan Tabaá","estancias",0,12,100,0,"20"
"115","20227","Oaxaca","San Lorenzo Cacaotepec","guarderias",1,1436,130,10,"20"
"116","20227","Oaxaca","San Lorenzo Cacaotepec","asilos",0,1186,324,4,"20"
"117","20227","Oaxaca","San Lorenzo Cacaotepec","estancias",0,160,100,2,"20"
"118","20232","Oaxaca","San Lucas Ojitlán","guarderias",1,2603,130,19,"20"
"119","20232","Oaxaca","San Lucas Ojitlán","asilos",0,1729,324,5,"20"
"120","20232","Oaxaca","San Lucas Ojitlán","estancias",0,478,100,5,"20"
"121","20235","Oaxaca","San Luis Amatlán","guarderias",0,471,130,4,"20"
"122","20235","Oaxaca","San Luis Amatlán","asilos",1,465,324,0,"20"
"123","20235","Oaxaca","San Luis Amatlán","estancias",0,67,100,1,"20"
"124","20260","Oaxaca","San Miguel Aloápam","guarderias",0,265,130,2,"20"
"125","20260","Oaxaca","San Miguel Aloápam","asilos",1,250,324,0,"20"
"126","20260","Oaxaca","San Miguel Aloápam","estancias",0,58,100,1,"20"
"127","20278","Oaxaca","San Miguel Soyaltepec","guarderias",1,5112,130,38,"20"
"128","20278","Oaxaca","San Miguel Soyaltepec","asilos",1,2690,324,7,"20"
"129","20278","Oaxaca","San Miguel Soyaltepec","estancias",0,518,100,5,"20"
"130","20294","Oaxaca","San Pablo Huitzo","guarderias",1,606,130,4,"20"
"131","20294","Oaxaca","San Pablo Huitzo","asilos",0,808,324,2,"20"
"132","20294","Oaxaca","San Pablo Huitzo","estancias",0,83,100,1,"20"
"133","20295","Oaxaca","San Pablo Huixtepec","guarderias",1,1089,130,7,"20"
"134","20295","Oaxaca","San Pablo Huixtepec","asilos",0,1047,324,3,"20"
"135","20295","Oaxaca","San Pablo Huixtepec","estancias",0,122,100,1,"20"
"136","20298","Oaxaca","San Pablo Villa de Mitla","guarderias",0,1169,130,9,"20"
"137","20298","Oaxaca","San Pablo Villa de Mitla","asilos",0,1289,324,4,"20"
"138","20298","Oaxaca","San Pablo Villa de Mitla","estancias",1,146,100,0,"20"
"139","20310","Oaxaca","San Pedro Ixtlahuaca","guarderias",1,1751,130,12,"20"
"140","20310","Oaxaca","San Pedro Ixtlahuaca","asilos",0,700,324,2,"20"
"141","20310","Oaxaca","San Pedro Ixtlahuaca","estancias",0,146,100,1,"20"
"142","20318","Oaxaca","San Pedro Mixtepec","guarderias",2,5807,130,43,"20"
"143","20318","Oaxaca","San Pedro Mixtepec","asilos",0,2897,324,9,"20"
"144","20318","Oaxaca","San Pedro Mixtepec","estancias",1,709,100,6,"20"
"145","20337","Oaxaca","San Pedro y San Pablo Ayutla","guarderias",1,616,130,4,"20"
"146","20337","Oaxaca","San Pedro y San Pablo Ayutla","asilos",0,703,324,2,"20"
"147","20337","Oaxaca","San Pedro y San Pablo Ayutla","estancias",0,64,100,1,"20"
"148","20338","Oaxaca","Villa de Etla","guarderias",1,976,130,7,"20"
"149","20338","Oaxaca","Villa de Etla","asilos",0,827,324,3,"20"
"150","20338","Oaxaca","Villa de Etla","estancias",0,104,100,1,"20"
"151","20342","Oaxaca","San Raymundo Jalpan","guarderias",1,386,130,2,"20"
"152","20342","Oaxaca","San Raymundo Jalpan","asilos",0,228,324,1,"20"
"153","20342","Oaxaca","San Raymundo Jalpan","estancias",0,46,100,0,"20"
"154","20350","Oaxaca","San Sebastián Tutla","guarderias",2,1146,130,7,"20"
"155","20350","Oaxaca","San Sebastián Tutla","asilos",0,1170,324,4,"20"
"156","20350","Oaxaca","San Sebastián Tutla","estancias",0,93,100,1,"20"
"157","20353","Oaxaca","Santa Ana","guarderias",1,294,130,1,"20"
"158","20353","Oaxaca","Santa Ana","asilos",0,233,324,1,"20"
"159","20353","Oaxaca","Santa Ana","estancias",0,23,100,0,"20"
"160","20375","Oaxaca","Santa Cruz Amilpas","guarderias",1,1249,130,9,"20"
"161","20375","Oaxaca","Santa Cruz Amilpas","asilos",0,635,324,2,"20"
"162","20375","Oaxaca","Santa Cruz Amilpas","estancias",0,95,100,1,"20"
"163","20385","Oaxaca","Santa Cruz Xoxocotlán","guarderias",10,9994,130,67,"20"
"164","20385","Oaxaca","Santa Cruz Xoxocotlán","asilos",0,5632,324,17,"20"
"165","20385","Oaxaca","Santa Cruz Xoxocotlán","estancias",2,1037,100,8,"20"
"166","20390","Oaxaca","Santa Lucía del Camino","guarderias",5,4403,130,29,"20"
"167","20390","Oaxaca","Santa Lucía del Camino","asilos",2,3447,324,9,"20"
"168","20390","Oaxaca","Santa Lucía del Camino","estancias",0,417,100,4,"20"
"169","20397","Oaxaca","Heroica Ciudad de Tlaxiaco","guarderias",3,4627,130,33,"20"
"170","20397","Oaxaca","Heroica Ciudad de Tlaxiaco","asilos",0,2939,324,9,"20"
"171","20397","Oaxaca","Heroica Ciudad de Tlaxiaco","estancias",0,336,100,3,"20"
"172","20399","Oaxaca","Santa María Atzompa","guarderias",4,4230,130,29,"20"
"173","20399","Oaxaca","Santa María Atzompa","asilos",0,2028,324,6,"20"
"174","20399","Oaxaca","Santa María Atzompa","estancias",0,276,100,3,"20"
"175","20403","Oaxaca","Santa María Coyotepec","guarderias",1,349,130,2,"20"
"176","20403","Oaxaca","Santa María Coyotepec","asilos",0,232,324,1,"20"
"177","20403","Oaxaca","Santa María Coyotepec","estancias",0,35,100,0,"20"
"178","20413","Oaxaca","Santa María Huatulco","guarderias",7,4756,130,30,"20"
"179","20413","Oaxaca","Santa María Huatulco","asilos",0,2665,324,8,"20"
"180","20413","Oaxaca","Santa María Huatulco","estancias",0,494,100,5,"20"
"181","20418","Oaxaca","Santa María Jalapa del Marqués","guarderias",1,1022,130,7,"20"
"182","20418","Oaxaca","Santa María Jalapa del Marqués","asilos",0,1415,324,4,"20"
"183","20418","Oaxaca","Santa María Jalapa del Marqués","estancias",0,138,100,1,"20"
"184","20427","Oaxaca","Santa María Petapa","guarderias",1,1612,130,11,"20"
"185","20427","Oaxaca","Santa María Petapa","asilos",0,1473,324,5,"20"
"186","20427","Oaxaca","Santa María Petapa","estancias",0,180,100,2,"20"
"187","20441","Oaxaca","Santa María Xadani","guarderias",1,1296,130,9,"20"
"188","20441","Oaxaca","Santa María Xadani","asilos",0,451,324,1,"20"
"189","20441","Oaxaca","Santa María Xadani","estancias",0,183,100,2,"20"
"190","20447","Oaxaca","Santa María Zacatepec","guarderias",1,2177,130,16,"20"
"191","20447","Oaxaca","Santa María Zacatepec","asilos",0,1615,324,5,"20"
"192","20447","Oaxaca","Santa María Zacatepec","estancias",0,230,100,2,"20"
"193","20449","Oaxaca","Santa María Zoquitlán","guarderias",0,339,130,3,"20"
"194","20449","Oaxaca","Santa María Zoquitlán","asilos",0,441,324,1,"20"
"195","20449","Oaxaca","Santa María Zoquitlán","estancias",1,46,100,-1,"20"
"196","20469","Oaxaca","Santiago Juxtlahuaca","guarderias",2,4679,130,34,"20"
"197","20469","Oaxaca","Santiago Juxtlahuaca","asilos",0,2716,324,8,"20"
"198","20469","Oaxaca","Santiago Juxtlahuaca","estancias",0,368,100,4,"20"
"199","20472","Oaxaca","Santiago Laollaga","guarderias",0,294,130,2,"20"
"200","20472","Oaxaca","Santiago Laollaga","asilos",1,471,324,0,"20"
"201","20472","Oaxaca","Santiago Laollaga","estancias",0,44,100,0,"20"
"202","20482","Oaxaca","Santiago Pinotepa Nacional","guarderias",2,6931,130,51,"20"
"203","20482","Oaxaca","Santiago Pinotepa Nacional","asilos",0,3617,324,11,"20"
"204","20482","Oaxaca","Santiago Pinotepa Nacional","estancias",0,655,100,7,"20"
"205","20483","Oaxaca","Santiago Suchilquitongo","guarderias",1,1130,130,8,"20"
"206","20483","Oaxaca","Santiago Suchilquitongo","asilos",0,785,324,2,"20"
"207","20483","Oaxaca","Santiago Suchilquitongo","estancias",0,99,100,1,"20"
"208","20515","Oaxaca","Santo Domingo Tehuantepec","guarderias",2,6270,130,46,"20"
"209","20515","Oaxaca","Santo Domingo Tehuantepec","asilos",0,6470,324,20,"20"
"210","20515","Oaxaca","Santo Domingo Tehuantepec","estancias",0,779,100,8,"20"
"211","20519","Oaxaca","Santo Domingo Tomaltepec","guarderias",1,305,130,1,"20"
"212","20519","Oaxaca","Santo Domingo Tomaltepec","asilos",0,328,324,1,"20"
"213","20519","Oaxaca","Santo Domingo Tomaltepec","estancias",0,24,100,0,"20"
"214","20525","Oaxaca","Santo Domingo Zanatepec","guarderias",1,1155,130,8,"20"
"215","20525","Oaxaca","Santo Domingo Zanatepec","asilos",0,1452,324,4,"20"
"216","20525","Oaxaca","Santo Domingo Zanatepec","estancias",0,174,100,2,"20"
"217","20530","Oaxaca","Santo Tomás Jalieza","guarderias",1,480,130,3,"20"
"218","20530","Oaxaca","Santo Tomás Jalieza","asilos",0,296,324,1,"20"
"219","20530","Oaxaca","Santo Tomás Jalieza","estancias",0,32,100,0,"20"
"220","20533","Oaxaca","Santo Tomás Tamazulapan","guarderias",0,293,130,2,"20"
"221","20533","Oaxaca","Santo Tomás Tamazulapan","asilos",0,252,324,1,"20"
"222","20533","Oaxaca","Santo Tomás Tamazulapan","estancias",1,27,100,-1,"20"
"223","20539","Oaxaca","Soledad Etla","guarderias",1,559,130,3,"20"
"224","20539","Oaxaca","Soledad Etla","asilos",0,506,324,2,"20"
"225","20539","Oaxaca","Soledad Etla","estancias",0,55,100,1,"20"
