"","x","y","z","var"
"1",0,0,-Inf,"guarderias"
"2",10000,4.35572214678715,9.21034037197618,"guarderias"
"3",20000,5.04243206817825,9.90348755253613,"guarderias"
"4",30000,5.44574218166876,10.3089526606443,"guarderias"
"5",40000,5.73234501280538,10.5966347330961,"guarderias"
"6",50000,5.95484045980197,10.8197782844103,"guarderias"
"7",60000,6.13672971357803,11.0020998412042,"guarderias"
"8",70000,6.29057149107537,11.1562505210315,"guarderias"
"9",80000,6.42387114431653,11.289781913656,"guarderias"
"10",90000,6.54147390109487,11.4075649493124,"guarderias"
"11",100000,6.64669017024627,11.5129254649702,"guarderias"
"12",110000,6.74188231470341,11.6082356447746,"guarderias"
"13",120000,6.82879531825984,11.6952470217642,"guarderias"
"14",130000,6.90875477931522,11.7752897294377,"guarderias"
"15",140000,6.98279139170868,11.8493977015914,"guarderias"
"16",150000,7.05172241395077,11.9183905730784,"guarderias"
"17",160000,7.11620681386094,11.982929094216,"guarderias"
"18",170000,7.1767836792206,12.0435537160324,"guarderias"
"19",180000,7.23389964096202,12.1007121298723,"guarderias"
"20",0,0,0,"asilos"
"21",10000,3.46148304504618,9.21044036697652,"asilos"
"22",20000,4.13881421692129,9.90353755128617,"asilos"
"23",30000,4.53895124138386,10.3089859934221,"asilos"
"24",40000,4.8239585883815,10.5966597327836,"asilos"
"25",50000,5.04549386367869,10.8197982842103,"asilos"
"26",60000,5.22674179768825,11.002116507732,"asilos"
"27",70000,5.38012489777035,11.1562648066437,"asilos"
"28",80000,5.51308021869002,11.2897944135779,"asilos"
"29",90000,5.6304149690302,11.4075760603618,"asilos"
"30",100000,5.73541671168783,11.5129354649202,"asilos"
"31",110000,5.83043325417563,11.6082447356423,"asilos"
"32",120000,5.9171998675196,11.6952553550628,"asilos"
"33",130000,5.99703542068966,11.7752974217158,"asilos"
"34",140000,6.07096579767876,11.8494048444231,"asilos"
"35",150000,6.13980472783986,11.9183972397228,"asilos"
"36",160000,6.20420853087486,11.9829353441964,"asilos"
"37",0,0,0,"estancias"
"38",100000,6.90875477931522,11.5129354649202,"estancias"
"39",200000,7.60140233458373,12.2060776455177,"estancias"
"40",300000,8.00670084544037,12.6115410869661,"estancias"
"41",400000,8.29429960885724,12.899222326087,"estancias"
"42",500000,8.5173931714189,13.1223653774023,"estancias"
"43",600000,8.69968140098951,13.3046866008636,"estancias"
"44",700000,8.8538082749772,13.458837042596,"estancias"
"45",800000,8.98732181285012,13.5923682566493,"estancias"
"46",900000,9.10509096125709,13.7101511534169,"estancias"
"47",1000000,9.21044036697652,13.8155115579638,"estancias"
"48",1100000,9.30574145673943,13.9108216468591,"estancias"
"49",1200000,9.39274525863144,13.9978329480912,"estancias"
"50",1300000,9.47278155656217,14.0778755916622,"estancias"
"51",1400000,9.54688403461792,14.1519835088709,"estancias"
"52",1500000,9.61587214452889,14.2209763327389,"estancias"
"53",1600000,9.68040649926887,14.2855148122098,"estancias"
"54",1700000,9.74102744483773,14.3461393972616,"estancias"
"55",1800000,9.7981825908907,14.4032977784218,"estancias"
"56",1900000,9.85224688834253,14.4573649704523,"estancias"
"57",2000000,9.90353755128617,14.5086582385241,"estancias"
